datetime,time [d],exfiltration [mol d^-1],infiltration [mol d^-1],net exchange flux [mol d^-1],watershed boundary discharge [mol d^-1],net runoff [mol d^-1],net groundwater flux [mol d^-1],total evapotranspiration [m d^-1],snow precipitation [m d^-1],rain precipitation [m d^-1],surface air temperature [K],incoming shortwave radiation [W m^-2],incident shortwave radiation [W m^-2],surface water content [mol],subsurface water content [mol],snow water content [mol],canopy water content [mol],snow evaporation [m d^-1],surface evaporation [m d^-1],transpiration [m d^-1],canopy evaporation [m d^-1],canopy drainage [m d^-1],water to surface [m d^-1],snow to surface [m SWE d^-1],snowmelt [m d^-1],max ponded depth [m],SWE [m],canopy interception [m d^-1],net groundwater flux [m^3/d],net groundwater flux [m/d],rain precipitation [mm d^-1],snow precipitation [mm d^-1],snowmelt [mm d^-1],watershed boundary discharge [m^3/d],watershed boundary discharge [m/d],total evapotranspiration [mm d^-1],snow water content [m],surface water content [m],subsurface water content [m],exfiltration [m d^-1],canopy water content [m],total water content [m]
2015-10-01,13048.0,11553239216.85,-8022933394.628,3530305822.22,3390511763.835,3390511763.835,-2.402186284867e-07,0.001205331859333,0.0,0.0,283.6945319009,201.7480875515,198.0259359646,51143899045.74,10271323835710.0,0.0,4062546.47252,0.0,0.0001062615856972,0.001099042409889,2.786374683273e-08,1.432328042135e-08,1.432328042135e-08,0.0,0.0,4.870754417444,0.0,0.0,-4.3282635763369376e-12,-8.142058874398927e-20,0.0,0.0,0.0,61090.30205108108,0.0011491925738396737,1.205331859333,0.0,0.017334901948280232,3.481400419076911,0.003915897550751997,1.3769744989227964e-06,3.4987366979996897
2015-10-02,13049.0,11292331720.18,-7813386872.471,3478944847.709,3293123146.992,3293123146.992,-2.940728328605e-08,0.00105768140361,0.0,0.0,284.3126556546,206.0575799046,202.5361518718,51028836526.73,10265025332400.0,0.0,3983308.686636,0.0,0.0001019972020106,0.0009556717003604,1.250123864032e-08,1.439381543086e-08,1.439381543086e-08,0.0,0.0,4.870352217731,0.0,0.0,-5.29860960109009e-13,-9.967413158567893e-21,0.0,0.0,0.0,59335.55219805406,0.0011161833165215685,1.05768140361,0.0,0.017295902233315667,3.4792655811131072,0.003827464600649761,1.3501173512565713e-06,3.496562833463774
2015-10-03,13050.0,11041223303.49,-7665558447.202,3375664856.283,3227393357.458,3227393357.458,5.158615541401e-07,0.001171869973335,0.0,0.0,284.7184363627,230.2691095164,226.5245959211,50881754624.41,10258487660200.0,0.0,3926320.850553,0.0,0.0001001227815941,0.001071742336862,4.8548787364e-09,1.460946883969e-08,1.460946883969e-08,0.0,0.0,4.869605778431,0.0,0.0,9.294802777299099e-12,1.7484801954400345e-19,0.0,0.0,0.0,58151.231665909916,0.001093904619005097,1.171869973335,0.0,0.017246049750367434,3.4770496783627984,0.0037423529868907857,1.3308016837150727e-06,3.4942970589148494
2015-10-04,13051.0,10801642955.1,-7517201320.381,3284441634.716,3129997187.05,3129997187.05,3.621851503429e-07,0.001216328296212,0.0,0.0,285.2908424608,220.56783344,216.9678542736,50733406525.44,10251917479340.0,0.0,3874299.605315,0.0,0.0001026443929103,0.001113680697098,3.206203744634e-09,1.476934826575e-08,1.476934826575e-08,0.0,0.0,4.869151616231,0.0,0.0,6.525858564736937e-12,1.2276037192045617e-19,0.0,0.0,0.0,56396.345712612616,0.0010608928014537854,1.2163282962120001,0.0,0.017195768098052292,3.474822757007258,0.003661148739159083,1.313169410809527e-06,3.492019838274721
2015-10-05,13052.0,10597148761.1,-7407804070.787,3189344690.311,3105147068.218,3105147068.218,1.369985333083e-08,0.0008153866963003,0.0,0.0,285.4719351784,220.9048720443,217.3950771351,50581350830.79,10246558763640.0,0.0,3827401.265495,0.0,8.009208289747e-05,0.0007352944818563,1.315465184699e-10,1.551155415008e-08,1.551155415008e-08,0.0,0.0,4.86898436408,0.0,0.0,2.468442041590991e-13,4.643478863106735e-21,0.0,0.0,0.0,55948.595823747746,0.00105247001043876,0.8153866963003,0.0,0.017144229779570197,3.473006454125361,0.0035918367221223634,1.2972735143783661e-06,3.4901519811784456
2015-10-06,13053.0,10419634255.49,-7286814374.264,3132819881.223,3024159403.419,3024159403.419,4.977137582604e-07,0.001179346953253,0.0,0.0,285.2996464444,217.9784582715,214.6329594639,50346937984.8,10240289600030.0,0.0,3768083.480562,0.0,0.0001162989413853,0.001063044129347,3.8825206656e-09,1.640250709444e-08,1.640250709444e-08,0.0,0.0,4.868135923717,0.0,0.0,8.967815464151351e-12,1.6869693861310584e-19,0.0,0.0,0.0,54489.358620162166,0.0010250197523531321,1.1793469532529999,0.0,0.017064777024178596,3.470881560667788,0.0035316693002682975,1.2771681253722777e-06,3.4879476148600923
2015-10-07,13054.0,10217087536.74,-7144793438.283,3072294098.454,2927689813.763,2927689813.763,8.219567557439e-07,0.001133502168559,0.0,0.0,284.8856088434,206.646462173,203.4729204857,50134451965.62,10234230232150.0,0.0,3713630.205564,0.0,0.0001210501089566,0.00101244973167,2.327931612222e-09,1.660310952661e-08,1.660310952661e-08,0.0,0.0,4.867395337954,0.0,0.0,1.4810031635025225e-11,2.785970571739945e-19,0.0,0.0,0.0,52751.16781554955,0.0009923219935025214,1.133502168559,0.0,0.016992756228412294,3.4688277761494346,0.0034630173676822233,1.2587115313216586e-06,3.4858217910893785
2015-10-08,13055.0,9995194439.892,-6983255853.902,3011938585.99,2846500632.924,2846500632.924,1.838888265375e-07,0.001030184661087,0.0,0.0,284.5546804077,201.3470832169,198.3269563771,49973686651.58,10228505150040.0,0.0,3662170.828177,0.0,0.0001105811492857,0.0009196027105092,8.01292487858e-10,1.660970047691e-08,1.660970047691e-08,0.0,0.0,4.866778115537,0.0,0.0,3.3133121898648647e-12,6.232795772103714e-20,0.0,0.0,0.0,51288.29969232432,0.0009648034328263679,1.030184661087,0.0,0.01693826583938123,3.4668872956840335,0.0033878081022834265,1.2412696999797537e-06,3.4838268027931147
2015-10-09,13056.0,9821746186.675,-6924738072.801,2897008113.874,2800150738.715,2800150738.715,-1.882561052833e-07,0.0006756937241148,0.0,0.0,284.4066041835,159.9643944313,157.3849757904,49841461648.2,10223843747230.0,0.0,3612063.726597,0.0,7.766297264479e-05,0.000598030751426,4.4020355940899996e-14,1.694557181657e-08,1.694557181657e-08,0.0,0.0,4.866468156601,0.0,0.0,-3.392001896996396e-12,-6.380821930163239e-20,0.0,0.0,0.0,50453.166463333335,0.0009490934285752725,0.6756937241148,0.0,0.016893449008606287,3.4653073426073133,0.0033290189110266517,1.2242862139920117e-06,3.482202015902134
2015-10-10,13057.0,9639030083.215,-6887216603.713,2751813479.502,2758170058.043,2758170058.043,-9.346603341238e-08,0.0006445382389645,0.0,0.0,285.5141403064,187.1896604473,184.491057738,49707987497.42,10219317493820.0,0.0,3560956.58344,0.0,4.310302165017e-05,0.0006014352173101,4.225153783623e-15,1.73224388057e-08,1.73224388057e-08,0.0,0.0,4.866163933533,0.0,0.0,-1.684072674096937e-12,-3.167972240929971e-20,0.0,0.0,0.0,49696.75780257658,0.0009348643416900442,0.6445382389645,0.0,0.016848208787200177,3.4637731975671544,0.003267088440394793,1.2069637702203513e-06,3.480622613318125
